season,game_date,game_type,team_1,team_1_score,team_1_advantage,team_2,team_2_score,team_2_advantage,overtime,location
2015,2014-11-15,R,Saint Louis,62,1,Southern Illinois,59,-1,null,null
2015,2014-11-15,R,Oral Roberts,77,1,Tulsa,68,-1,null,null
2015,2014-11-15,R,Boise State,77,-1,Loyola Marymount,69,1,null,null
2015,2014-11-15,R,UL Monroe,74,-1,UAB,65,1,null,null
2015,2014-11-15,R,Colorado State,83,1,Montana,66,-1,null,null
2015,2014-11-15,R,Santa Clara,70,1,San Diego Chr,58,-1,null,null
2015,2014-11-15,R,Portland State,76,-1,USC,68,1,null,null
2015,2014-11-15,R,Hawaii,72,1,Cal State Bakersfield,65,-1,null,null
2015,2014-11-15,R,High Point,74,0,Arkansas-Pine Bluff,62,0,null,"Honolulu, HI"
2015,2014-11-15,R,Air Force,68,0,The Citadel,55,0,null,"All-Military Classic West Point, NY"
2015,2014-11-15,R,Army,92,1,VMI,86,-1,null,All-Military Classic
2015,2014-11-15,R,Duquesne,91,1,Bluefield St,51,-1,null,null
2015,2014-11-16,R,Arkansas,97,1,Alabama State,79,-1,null,null
2015,2014-11-16,R,Western Michigan,87,1,Aquinas,57,-1,null,null
2015,2014-11-16,R,Kentucky,71,1,Buffalo,52,-1,null,null
2015,2014-11-16,R,Seton Hall,63,1,Mercer,47,-1,null,null
2015,2014-11-16,R,Pittsburgh,63,1,Samford,56,-1,null,null
2015,2014-11-16,R,Wisconsin,89,1,Chattanooga,45,-1,null,null
2015,2014-11-16,R,Toledo,71,1,Northern Arizona,58,-1,null,null
2015,2014-11-16,R,Miami (OH),76,1,Southern Utah,63,-1,null,null
2015,2014-11-16,R,Hartford,51,1,Saint Peter's,50,-1,null,null
2015,2014-11-16,R,South Florida,73,1,Jackson State,64,-1,null,null
2015,2014-11-16,R,Notre Dame,92,1,Navy,53,-1,null,null
2015,2014-11-16,R,Nebraska,80,1,Northern Kentucky,61,-1,null,null
2015,2014-11-16,R,George Mason,63,1,Princeton,60,-1,null,null
2015,2014-11-16,R,Rhode Island,72,1,UMass Lowell,56,-1,null,null
2015,2014-11-16,R,Oklahoma,78,1,SE Louisiana,53,-1,null,null
2015,2014-11-16,R,Oklahoma State,74,1,Prairie View A&M,52,-1,null,null
2015,2014-11-16,R,West Virginia,83,1,Lafayette,56,-1,null,null
2015,2014-11-16,R,UNC Asheville,83,-1,East Carolina,79,1,null,null
2015,2014-11-16,R,Purdue,77,1,IU Indianapolis,57,-1,null,null
2015,2014-11-16,R,Little Rock,77,1,Ark Monticello,64,-1,null,null
2015,2014-11-16,R,Vanderbilt,83,1,Trevecca Naz,56,-1,null,null
2015,2014-11-16,R,Wyoming,78,1,Northern Colorado,70,-1,null,null
2015,2014-11-16,R,Loyola Maryland,76,1,Cornell,71,-1,null,null
2015,2014-11-16,R,Portland,73,-1,San Jose State,68,1,1,null
2015,2014-11-16,R,Marshall,66,1,Savannah State,47,-1,null,null
2015,2014-11-16,R,Austin Peay,68,1,Berea,63,-1,null,null
2015,2014-11-16,R,Youngstown State,71,1,Oberlin,53,-1,null,null
2015,2014-11-16,R,Syracuse,65,1,Hampton,47,-1,null,null
2015,2014-11-16,R,Charlotte,73,-1,Elon,60,1,null,null
2015,2014-11-16,R,Utah State,60,-1,Illinois State,55,1,null,null
2015,2014-11-16,R,Omaha,100,1,Central Arkansas,75,-1,null,null
2015,2014-11-16,R,Penn State,73,1,Fordham,54,-1,null,null
2015,2014-11-16,R,Wright State,76,1,OH Dominican,64,-1,null,null
2015,2014-11-16,R,Holy Cross,58,0,Harvard,57,0,null,"Boston, MA"
2015,2014-11-16,R,Creighton,84,1,Chicago State,66,-1,null,null
2015,2014-11-16,R,Denver,54,1,Idaho State,38,-1,null,null
2015,2014-11-16,R,UCF,64,1,Stetson,55,-1,null,null
2015,2014-11-16,R,Stanford,84,1,South Dakota,73,-1,null,null
2015,2014-11-16,R,UC Irvine,68,1,Pacific,50,-1,null,null
2015,2014-11-16,R,North Carolina,103,1,Robert Morris,59,-1,null,null
2015,2014-11-16,R,Illinois,114,1,Coppin State,56,-1,null,null
2015,2014-11-16,R,Missouri,56,1,Valparaiso,41,-1,null,null
2015,2014-11-16,R,Howard,101,1,Goucher,54,-1,null,null
2015,2014-11-16,R,Virginia,67,1,Norfolk State,39,-1,null,null
2015,2014-11-16,R,George Washington,70,-1,Rutgers,53,1,null,null
2015,2014-11-16,R,Arizona,86,1,Cal State Northridge,68,-1,null,null
2015,2014-11-16,R,UC Davis,57,1,Holy Names,42,-1,null,null
2015,2014-11-16,R,Texas,85,1,Alcorn State,53,-1,null,null
2015,2014-11-16,R,California,93,1,Kennesaw State,59,-1,null,null
2015,2014-11-16,R,UNLV,59,1,Sam Houston,57,-1,null,null
2015,2014-11-16,R,New Mexico,67,1,Cal State Fullerton,59,-1,null,null
2015,2014-11-16,R,San Francisco,91,1,South Carolina State,52,-1,null,null
2015,2014-11-16,R,UCLA,84,1,Coastal Carolina,71,-1,null,null
2015,2014-11-16,R,Northeastern,71,0,Boston University,65,0,null,"Boston, MA"
2015,2014-11-16,R,Massachusetts,71,0,Boston College,62,0,null,"Boston, MA"
2015,2014-11-16,R,Lamar,78,1,LSU-Alexandria,75,-1,null,null
2015,2014-11-16,R,Jacksonville,72,1,Florida National,61,-1,null,null
2015,2014-11-17,R,Colorado,90,1,Auburn,59,-1,null,null
2015,2014-11-17,R,Gardner-Webb,80,-1,Col Charleston,67,1,null,null
2015,2014-11-17,R,Southern Miss,68,1,South Alabama,59,-1,null,null
2015,2014-11-17,R,UAB,94,1,Young Harris,81,-1,null,null
2015,2014-11-17,R,WI Milwaukee,75,1,MN Crookston,54,-1,null,null
2015,2014-11-17,R,Indiana,83,1,Texas Southern,64,-1,null,null
2015,2014-11-17,R,Vermont,84,-1,Siena,76,1,null,null
2015,2014-11-17,R,Temple,82,1,Louisiana Tech,75,-1,null,null
2015,2014-11-17,R,Ball State,101,1,IU Kokomo,62,-1,null,null
2015,2014-11-17,R,Eastern Michigan,89,1,Oakland,77,-1,null,null
2015,2014-11-17,R,Winthrop,77,-1,Clemson,74,1,null,null
2015,2014-11-17,R,Miami,69,-1,Florida,67,1,null,null
2015,2014-11-17,R,Louisville,88,1,Jacksonville State,39,-1,null,null
2015,2014-11-17,R,NC State,76,1,Hofstra,64,-1,null,null
2015,2014-11-17,R,Villanova,81,1,Maryland Eastern Shore,44,-1,null,null
2015,2014-11-17,R,North Florida,79,1,Webber,55,-1,null,null
2015,2014-11-17,R,Florida Gulf Coast,81,1,UC Santa Barbara,75,-1,1,null
2015,2014-11-17,R,Liberty,61,1,Delaware,55,-1,null,null
2015,2014-11-17,R,James Madison,74,1,Radford,71,-1,null,null
2015,2014-11-17,R,St Joseph's PA,52,-1,Drexel,49,1,null,null
2015,2014-11-17,R,Northwestern,69,-1,Brown,56,1,null,null
2015,2014-11-17,R,Yale,97,1,Newbury,51,-1,null,null
2015,2014-11-17,R,Florida Atlantic,74,1,Warner,49,-1,null,null
2015,2014-11-17,R,Fairleigh Dickinson,102,1,FDU Madison,61,-1,null,null
2015,2014-11-17,R,Morehead State,87,1,Cincinnati Chr,79,-1,null,null
2015,2014-11-17,R,NJIT,90,1,Maine,86,-1,null,null
2015,2014-11-17,R,Cleveland State,85,1,Tiffin,56,-1,null,null
2015,2014-11-17,R,Towson,51,-1,Morgan State,46,1,null,null
2015,2014-11-17,R,American University,49,1,St. Francis (PA),46,-1,null,null
2015,2014-11-17,R,St. John's,94,1,Franklin Pierce,81,-1,null,null
2015,2014-11-17,R,Belmont,87,-1,Lipscomb,62,1,null,null
2015,2014-11-17,R,South Carolina Upstate,63,-1,North Carolina A&T,46,1,null,null
2015,2014-11-17,R,Charleston Southern,92,1,Erskine,50,-1,null,null
2015,2014-11-17,R,Maryland,93,1,Central Connecticut,57,-1,null,null
2015,2014-11-17,R,Northwestern State,75,1,Lyon,64,-1,null,null
2015,2014-11-17,R,Kansas State,83,1,Kansas City,73,-1,null,null
2015,2014-11-17,R,TCU,81,1,Washington State,54,-1,null,null
2015,2014-11-17,R,Loyola Chicago,78,1,McKendree,68,-1,null,null
2015,2014-11-17,R,UIC,67,1,Western Illinois,64,-1,null,null
2015,2014-11-17,R,Iowa,87,1,North Dakota State,56,-1,null,null
2015,2014-11-17,R,Purdue Fort Wayne,74,-1,SIU Edwardsville,71,1,null,null
2015,2014-11-17,R,Michigan,77,1,Bucknell,53,-1,null,null
2015,2014-11-17,R,Wake Forest,71,-1,Tulane,49,1,null,null
2015,2014-11-17,R,UT Rio Grande Valley,63,-1,UTSA,62,1,null,null
2015,2014-11-17,R,Ole Miss,74,-1,Troy,64,1,null,null
2015,2014-11-17,R,UL Monroe,106,1,Champion Bap,39,-1,null,null
2015,2014-11-17,R,Houston Christian,89,1,Randall,53,-1,null,null
2015,2014-11-17,R,Eastern Illinois,81,1,Eureka,51,-1,null,null
2015,2014-11-17,R,Mississippi State,89,1,Mississippi Valley State,68,-1,null,null
2015,2014-11-17,R,Eastern Washington,75,1,Utah Valley,50,-1,null,null
2015,2014-11-17,R,UT Martin,75,-1,Arkansas State,73,1,null,null
2015,2014-11-17,R,North Texas,71,1,Nicholls St,57,-1,null,null
2015,2014-11-17,R,Iowa State,81,1,Georgia State,58,-1,null,null
2015,2014-11-17,R,Grand Canyon,61,1,Montana St,45,-1,null,null
2015,2014-11-17,R,Providence,66,1,Binghamton,45,-1,null,null
2015,2014-11-17,R,Alabama,80,1,Western Carolina,74,-1,null,null
2015,2014-11-17,R,Arizona State,49,1,Bethune-Cookman,39,-1,null,null
2015,2014-11-17,R,Weber State,74,1,Presentation,49,-1,null,null
2015,2014-11-17,R,Tulsa,64,1,Louisiana,53,-1,null,null
2015,2014-11-17,R,Idaho,82,1,South Dakota State,77,-1,null,null
2015,2014-11-17,R,Nevada,69,1,Adams St,64,-1,null,null
2015,2014-11-17,R,Pepperdine,76,1,Cal Lutheran,61,-1,null,null
2015,2014-11-17,R,Sacramento State,70,-1,UC Riverside,69,1,null,null
2015,2014-11-17,R,Gonzaga,72,1,SMU,56,-1,null,null
2015,2014-11-17,R,Oregon,83,1,Detroit Mercy,66,-1,null,null
2015,2014-11-17,R,USC,70,1,Tennessee Tech,58,-1,null,null
2015,2014-11-17,R,St Mary's CA,83,1,New Mexico State,71,-1,null,null
2015,2014-11-17,R,High Point,62,-1,Hawaii,54,1,null,null
2015,2014-11-17,R,Arkansas-Pine Bluff,56,0,Cal State Bakersfield,49,0,null,"Honolulu, HI"
2015,2014-11-17,R,Southern,76,1,LSU-Alexandria,65,-1,null,null
2015,2014-11-17,R,Delaware State,104,1,Summit,63,-1,null,null
2015,2014-11-17,R,Fresno State,93,1,Bristol,55,-1,null,null
2015,2014-11-18,R,Portland State,84,1,Willamette,63,-1,null,null
2015,2014-11-18,R,BYU,91,1,Little Rock,62,-1,null,null
2015,2014-11-18,R,Old Dominion,63,1,Richmond,57,-1,null,null
2015,2014-11-18,R,Wofford,86,1,Iona,73,-1,null,null
2015,2014-11-18,R,Northern Iowa,79,-1,Stephen F. Austin,77,1,1,null
2015,2014-11-18,R,Massachusetts,77,1,Manhattan,68,-1,1,null
2015,2014-11-18,R,Baylor,69,-1,South Carolina,65,1,null,null
2015,2014-11-18,R,San Diego State,53,1,Utah,49,-1,null,null
2015,2014-11-18,R,VCU,87,1,Toledo,78,-1,null,null
2015,2014-11-18,R,Rider,73,-1,Pennsylvania,57,1,null,null
2015,2014-11-18,R,Canisius,63,-1,Lehigh,51,1,null,null
2015,2014-11-18,R,Cornell,58,1,Colgate,52,-1,null,null
2015,2014-11-18,R,Central Michigan,75,1,Youngstown State,63,-1,null,null
2015,2014-11-18,R,Georgia Tech,66,1,Alabama A&M,46,-1,null,null
2015,2014-11-18,R,Northeastern,76,-1,Florida State,73,1,null,null
2015,2014-11-18,R,Virginia,75,1,South Carolina State,55,-1,null,null
2015,2014-11-18,R,Xavier,97,1,Long Beach State,74,-1,null,null
2015,2014-11-18,R,Georgetown,78,1,TAM C. Christi,62,-1,null,null
2015,2014-11-18,R,Jackson State,66,-1,Jacksonville,57,1,null,null
2015,2014-11-18,R,Florida International,53,-1,Stetson,52,1,null,null
2015,2014-11-18,R,East Tennessee State,111,1,UVA-Wise,66,-1,null,null
2015,2014-11-18,R,UNC Wilmington,84,-1,UNC Greensboro,72,1,null,null
2015,2014-11-18,R,VMI,124,1,Johnson TN,42,-1,null,null
2015,2014-11-18,R,Davidson,86,1,Campbell,51,-1,null,null
2015,2014-11-18,R,Columbia,70,1,Wagner,56,-1,null,null
2015,2014-11-18,R,Marshall,87,1,WV Tech,65,-1,null,null
2015,2014-11-18,R,Eastern Kentucky,115,1,Kentucky Chr,35,-1,null,null
2015,2014-11-18,R,Georgia,80,1,Stony Brook,70,-1,null,null
2015,2014-11-18,R,William & Mary,56,1,Howard,49,-1,null,null
2015,2014-11-18,R,North Carolina Central,123,1,Col of Faith AR,65,-1,null,null
2015,2014-11-18,R,Saint Louis,69,-1,Indiana State,56,1,null,null
2015,2014-11-18,R,La Salle,60,-1,Quinnipiac,58,1,null,null
2015,2014-11-18,R,Ohio State,74,1,Marquette,63,-1,null,null
2015,2014-11-18,R,Presbyterian,82,1,Piedmont,72,-1,null,null
2015,2014-11-18,R,Georgia Southern,86,1,Trinity FL,49,-1,null,null
2015,2014-11-18,R,Oklahoma State,91,1,Ole Miss,45,-1,null,null
2015,2014-11-18,R,North Dakota,76,1,Mayville St,39,-1,null,null
